Index	Joint name
0	    PELVIS
1	    SPINE_NAVAL
2	    SPINE_CHEST
3	    NECK
4	    CLAVICLE_LEFT
5	    SHOULDER_LEFT
6	    ELBOW_LEFT
7	    WRIST_LEFT
8	    HAND_LEFT
9	    HANDTIP_LEFT
10	    THUMB_LEFT
11	    CLAVICLE_RIGHT
12	    SHOULDER_RIGHT
13	    ELBOW_RIGHT
14	    WRIST_RIGHT
15	    HAND_RIGHT
16	    HANDTIP_RIGHT
17	    THUMB_RIGHT
18	    HIP_LEFT
19	    KNEE_LEFT
20	    ANKLE_LEFT
21	    FOOT_LEFT
22	    HIP_RIGHT
23	    KNEE_RIGHT
24	    ANKLE_RIGHT
25	    FOOT_RIGHT
26	    HEAD
27	    NOSE
28	    EYE_LEFT
29	    EAR_LEFT
30	    EYE_RIGHT
31	    EAR_RIGHT
